,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Karhutiimi Oy,22.06.2015,
1,Y-tunnus,2694067-4,,
2,Kotipaikka,Espoo,22.06.2015,
3,Yritysmuoto,Osakeyhtiö,22.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.06.2015,,
6,Viimeisin rekisteröintiajankohta,13.02.2023,13.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,22.06.2015,,
8,Yrityksen tila,Rekisterissä,22.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,24.01.2020,
12,Postiosoite,PL 30  02211  Espoo  Suomi,,
