,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Real Estate Fund of Funds V GP Oy,15.07.2016,
1,Y-tunnus,2695103-1,,
2,Kotipaikka,Helsinki,23.06.2015,
3,Yritysmuoto,Osakeyhtiö,23.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.06.2015,,
6,Viimeisin rekisteröintiajankohta,31.08.2022,31.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.06.2015,,
8,Yrityksen tila,Rekisterissä,23.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.06.2020,
11,Yhteystiedot,,19.07.2016,
12,Postiosoite,c/o OP Kiinteistösijoitus Oy  PL 1068  00013  OP  Suomi,,
13,Käyntiosoite,c/o OP Kiinteistösijoitus Oy  Gebhardinaukio 1  00510  Helsinki  Suomi,,
